"clie_id";"scores"
483;0
451;0,5919
733;0,3753
572;0,2768
395;0,1255
610;0,2674
715;0,9869
576;0,0097
490;0,1298
620;0,2915
70;0,0241
80;0,006
598;0,0062
696;0,347
778;0,7185
753;0,0605
440;0,2971
537;8e-04
601;0,5097
779;0,0016
680;0,097
699;0
491;0,0599
707;0,3801
682;0,4666
384;0,1945
401;0,0162
485;0,1852
476;3e-04
492;0,0148
593;0,1528
629;0,0285
89;0,0193
767;0,2301
501;0,4037
557;0,0859
608;0,0805
497;0,0851
517;0,0161
765;1
482;0
554;0,1569
780;0,0063
208;0,0266
630;0,0728
466;0,3267
602;0,051
740;0,223
448;0,096
373;0,2488
662;0,0572
40;0,0927
337;0,0666
614;0,0394
749;6e-04
516;0,1711
207;0,0095
581;0,0235
632;0,0428
674;0,2686
675;0,3095
4;0,4189
359;7e-04
371;0,0168
498;0,0415
766;0,4568
124;0,0287
326;0,093
435;0,0669
474;0,0363
512;0,0242
540;0,03
604;1
633;0,2981
694;0,0159
697;0,4561
712;0,0915
724;0,1824
752;0,0243
504;0,0749
505;0,2858
687;0,0153
754;0,0066
1;0,0368
319;0,259
421;0,0061
580;0,2216
658;0,0049
26;0,0046
410;0,4295
419;0,0189
589;0,1764
618;0,0488
709;0,0909
751;0,0743
455;9e-04
532;0,1133
776;0,3968
91;1e-04
360;0,0189
382;0,0071
477;2e-04
493;0,0471
565;0,2596
603;0,0191
653;0,0157
690;0,3021
764;0,2598
38;0,0146
46;0,1245
394;9e-04
463;0,0313
704;0,7462
750;0,0597
757;0,0664
385;0,006
574;0,1187
651;0,1827
681;0,1068
