Idade_clie;Fraudador
1082;0
1226;0
1831;0
1028;0
1947;0
1180;0
1029;0
2136;0
1818;0
1549;0
1734;0
1869;0
1380;0
1362;0
1181;0
1674;0
1924;0
1668;0
1335;0
1724;0
1901;0
1611;0
1335;0
1064;0
1946;0
1838;0
939;0
1539;0
1119;0
967;0
1064;0
1439;0
1418;0
967;0
1370;0
895;0
1025;0
994;0
1097;0
923;0
328;1
151;1
695;1
504;1
423;1
1579;1
386;1
100;1
914;1
190;1
405;1
680;1
526;1
455;1
232;1
182;1
837;1
933;1
160;1
633;1
190;1
713;1
1;1
826;1
59;1
77;1
80;1
326;1
13;1
792;1
598;1
57;1
34;1
1;1
236;1
385;1
105;1
110;1
40;1
227;1
12;1
