estrato;talhao;area;distkm;parcela;id;ncovas;nfustes;dapmed;htmed;hd;ab;vtsc;vtcc
494593;746;157,46;88,2;1207;24,01;1392,37;1369,16;9,19;10,98;11,6;9,25;36,46;45,68
494593;746;157,46;88,2;1207;37,65;1392,37;1369,16;12,07;16,3;17,06;15,92;94,95;119,3
494593;746;157,46;88,2;1207;47,6;1392,37;1369,16;12,87;19,41;20,72;18,1;140,24;164,28
494593;746;157,46;88,2;1207;61,86;1392,37;1369,16;14,03;22,3;23,6;21,56;199,65;237,38
494593;746;157,46;88,2;1207;72,37;1392,37;1369,16;14,52;24;25,2;23,17;220,12;250,52
494593;746;157,46;88,2;1207;84,99;1392,37;1369,16;15,24;25,67;28,27;25,64;265,71;298,59
494593;746;157,46;88,2;1208;37,65;1415,96;1345,16;12,06;16,04;17,62;15,56;91,4;115,27
494593;746;157,46;88,2;1208;47,6;1415,96;1345,16;13;18,32;18,96;18,12;128,13;152,15
494593;746;157,46;88,2;1208;61,86;1415,96;1345,16;14,41;22,12;23,73;22,38;205,55;244,39
494593;746;157,46;88,2;1208;72,37;1415,96;1345,16;14,81;23,56;25,73;23,69;221,72;252,35
494593;746;157,46;88,2;1208;84,99;1415,96;1345,16;15,51;26,08;29,13;26,11;274,66;308,65
494593;747;181,39;313,97;1209;24,7;1383,32;1337,21;10,96;12,89;14,2;12,7;57,62;71,4
494593;747;181,39;313,97;1209;38,34;1383,32;1337,21;13,09;18,28;19,22;18,19;122,52;150,03
494593;747;181,39;313,97;1209;48,29;1383,32;1337,21;13,88;20,88;21,62;20,46;169,77;197,24
494593;747;181,39;313,97;1209;62,55;1383,32;1337,21;15,06;22,83;24,27;24,2;229,17;272,47
494593;748;39,95;150,77;1210;38,4;1344,09;1299,28;12,33;16,14;17,36;15,59;90,88;114,98
494593;748;39,95;150,77;1210;48,36;1344,09;1299,28;13,09;17,21;18,36;17,57;114,09;137,14
494593;748;39,95;150,77;1210;62,61;1344,09;1299,28;14,34;20,47;21,13;21,09;177,41;210,93
494593;748;39,95;150,77;1210;73,13;1344,09;1299,28;14,93;21,57;23,23;22,92;193,83;220,6
494593;748;39,95;150,77;1210;85,74;1344,09;1299,28;15,52;24,88;26,55;24,81;245,14;275,47
494593;749;176,75;240,9;1211;29,47;1348,39;1348,39;11,34;14,68;15,5;13,84;73,32;89,59
494593;749;176,75;240,9;1211;41,56;1348,39;1326,29;12,91;17,64;19,66;17,67;119,02;142,43
494593;749;176,75;240,9;1211;55,81;1348,39;1326,29;14,5;20,53;22,12;22,42;192,93;229,39
494593;749;176,75;240,9;1211;66,33;1348,39;1326,29;14,93;21,33;22,76;23,83;202,25;230,19
494593;749;176,75;240,9;1211;78,94;1348,39;1326,29;15,89;22,76;25,42;27,12;247,34;281,51
494593;749;176,75;240,9;1212;29,47;1458,92;1458,92;11,32;14,58;15,96;15,22;81,48;99,49
494593;749;176,75;240,9;1212;41,56;1458,92;1458,92;12,75;18,09;20,12;19,4;137,72;163,5
494593;749;176,75;240,9;1212;55,81;1458,92;1436,81;14,03;20,15;22,18;23,32;202,18;240,39
494593;749;176,75;240,9;1212;66,33;1458,92;1436,81;14,57;22,74;25,12;25,21;235,65;268,21
494593;749;176,75;240,9;1212;78,94;1458,92;1436,81;15,22;23,74;27,76;27,67;275,24;313,26
494593;749;176,75;240,9;1213;41,56;1320;1340;13,9;18,98;22,02;21,18;153,5;182,36
494593;749;176,75;240,9;1213;55,81;1320;1340;15,2;22,85;26,48;25,66;252,77;300,54
494593;749;176,75;240,9;1213;66,33;1320;1340;15,81;24,33;29,04;28,02;283,11;322,21
494593;749;176,75;240,9;1213;78,94;1320;1340;16,62;25,94;31,22;31,41;343,7;391,18
494593;749;176,75;240,9;1214;41,56;1380;1260;13,52;18,92;20,86;18,51;134,64;159,46
494593;749;176,75;240,9;1214;55,81;1380;1260;14,52;20,62;22,52;21,63;188,92;224,61
494593;749;176,75;240,9;1214;66,33;1380;1240;15,25;23,67;25,36;23,29;218,96;249,21
494593;749;176,75;240,9;1214;78,94;1380;1240;15,88;24,94;28,1;25,44;257,23;292,76
494593;750;87,76;62,63;1215;25,53;1569,44;1481,02;10,32;12,54;14,42;12,89;58,76;72,78
494593;750;87,76;62,63;1215;37,61;1569,44;1481,02;12,05;14,76;16,76;17,7;99,77;122,77
494593;750;87,76;62,63;1215;51,87;1569,44;1481,02;13,19;17,23;19,9;21,38;158,85;188,86
494593;750;87,76;62,63;1215;62,39;1569,44;1481,02;13,71;17,93;21,62;23,26;175,22;199,42
494593;750;87,76;62,63;1215;75;1569,44;1481,02;14,6;20,46;25,1;26,72;230,86;262,75
494593;751;61,82;162,69;1216;34,26;1620;1580;12,13;16,37;18,58;18,5;111,48;132,77
494593;751;61,82;162,69;1216;48,55;1620;1580;13,33;20,56;22,1;22,44;174,14;203,83
494593;751;61,82;162,69;1216;62,19;1620;1580;14,44;23,48;25,08;26,43;245,78;279,73
494593;751;61,82;162,69;1217;34,26;1580;1540;11,35;15,63;16,3;15,71;89,38;106,45
494593;751;61,82;162,69;1217;48,55;1580;1540;12,87;18,54;20,42;20,21;140,52;164,48
494593;751;61,82;162,69;1217;62,19;1580;1540;14,18;21,07;22,64;24,58;203,39;231,48
494593;751;61,82;162,69;1218;48,55;1740;1680;12,34;17,05;19,34;20,5;133,17;155,87
494593;751;61,82;162,69;1218;62,19;1740;1680;13,61;19,69;21,88;25,04;196,49;223,63
494593;752;168,58;203,17;1219;40,37;1440;1460;12,89;18,1;19,88;19,35;128,84;153,45
494593;752;168,58;203,17;1219;54,66;1440;1440;14,16;21,21;23,18;22,97;183,94;215,3
494593;752;168,58;203,17;1219;68,3;1440;1440;15,33;24,09;26,16;27,07;259,06;294,84
494593;752;168,58;203,17;1220;40,37;1540;1480;12,46;16,29;18,74;18,5;112,43;133,9
494593;752;168,58;203,17;1220;54,66;1540;1480;13,47;19,15;20,92;21,8;158,61;185,66
494593;752;168,58;203,17;1220;68,3;1540;1480;14,47;18,3;23,22;25,46;196,05;223,14
494593;752;168,58;203,17;1221;54,66;1400;1360;14,02;21,54;22,42;21,25;171,33;200,54
494593;752;168,58;203,17;1221;68,3;1400;1360;15,11;23,68;24,82;24,73;229,95;261,72
494593;753;170,18;194,87;1222;21,81;1580;1560;9,94;12,74;14,1;12,38;58,54;72,16
494593;753;170,18;194,87;1222;36,79;1580;1560;13,73;17,48;19,56;24,12;159,8;192,56
494593;753;170,18;194,87;1222;48,82;1580;1560;15,48;21,08;23,68;31,11;258,97;303,13
494593;753;170,18;194,87;1222;59,95;1580;1560;16,29;25,01;28,06;34,79;358,67;412,11
494593;753;170,18;194,87;1223;21,81;1600;1560;9,36;12,04;13,48;11,02;49,55;61,33
494593;753;170,18;194,87;1223;36,79;1600;1560;13,19;17,29;19,02;22,13;145,85;175,51
494593;753;170,18;194,87;1223;48,82;1600;1560;14,78;20,48;22,48;28,07;220,96;258,64
494593;753;170,18;194,87;1223;59,95;1600;1560;15,48;23,26;26,2;31,1;295,62;339,67
494593;754;176,49;82,64;1224;37,09;1520;1520;13,45;15,72;17,34;22,46;132,11;162,08
494593;754;176,49;82,64;1224;49,11;1520;1520;15,04;19,48;22,5;28,5;219,75;257,22
494593;754;176,49;82,64;1224;60,25;1520;1520;15,71;22,61;26,82;31,34;294,52;338,41
494593;755;62,92;259,08;1225;30,49;1724,18;1724,18;11,64;16,09;16,76;18,52;108,64;129,39
494593;755;62,92;259,08;1225;41,79;1724,18;1724,18;12,85;18,8;20,76;22,65;160,76;188,17
494593;755;62,92;259,08;1225;55,22;1724,18;1724,18;13,91;21,73;23,3;26,68;228,12;262,11
494593;755;62,92;259,08;1225;67,18;1724,18;1724,18;14,57;23,71;25,3;29,35;274,78;312,73
494593;756;106,66;224,99;1226;46,06;1620;1640;13,08;17,89;21,04;22,74;156,75;183,47
494593;756;106,66;224,99;1226;58,38;1620;1640;14,38;21,71;24,86;27,69;243,88;280,22
494593;756;106,66;224,99;1226;65,05;1620;1640;14,84;24,49;27,68;29,62;296,17;337,09
494593;757;80,07;225,37;1227;28,42;1440;1420;9,7;11,57;13,06;10,6;45,59;55,6
494593;757;80,07;225,37;1227;45,8;1440;1420;11,16;15,92;15,72;14,04;84,34;98,72
494593;757;80,07;225,37;1227;58,11;1440;1420;12,52;17,54;18,88;17,71;121,65;139,78
