projeto;idade;custo;receita;produção
3;0;3500;0;0
3;1;1475;0;0
3;2;1465;0;0
3;3;3579,998325;6431,667783;98,94873513
4;0;3500;0;0
4;1;1475;0;0
4;2;1465;0;0
4;3;1395;0;0
4;4;4885,123597;10308,86809;158,5979706
5;0;3500;0;0
5;1;1475;0;0
5;2;1465;0;0
5;3;1395;0;0
5;4;1395;0;0
5;5;6020,506196;13681,80543;210,4893143
6;0;3500;0;0
6;1;1475;0;0
6;2;1465;0;0
6;3;1395;0;0
6;4;1395;0;0
6;5;1395;0;0
6;6;6977,017135;16523,35986;254,2055363
7;0;3500;0;0
7;1;1475;0;0
7;2;1465;0;0
7;3;1395;0;0
7;4;1395;0;0
7;5;1395;0;0
7;6;1395;0;0
7;7;7779,606729;18907,65253;290,886962
8;0;3500;0;0
8;1;1475;0;0
8;2;1465;0;0
8;3;1395;0;0
8;4;1395;0;0
8;5;1395;0;0
8;6;1395;0;0
8;7;1395;0;0
8;8;8456,675569;20919,05448;321,8316074
9;0;3500;0;0
9;1;1475;0;0
9;2;1465;0;0
9;3;1395;0;0
9;4;1395;0;0
9;5;1395;0;0
9;6;1395;0;0
9;7;1395;0;0
9;8;1395;0;0
9;9;9032,700757;22630,28104;348,1581699
10;0;3500;0;0
10;1;1475;0;0
10;2;1465;0;0
10;3;1395;0;0
10;4;1395;0;0
10;5;1395;0;0
10;6;1395;0;0
10;7;1395;0;0
10;8;1395;0;0
10;9;1395;0;0
10;10;9527,266803;24099,5129;370,7617369
