"parcela";"estrato";"talhao";"area";"distkm";"id";"ncovas";"nfustes";"dapmed";"htmed";"hd";"ab";"vtsc";"vtcc";"sitio";"licl4";"lscl4";"lscl3";"lscl2";"lscl1";"cls";"mudou";"nmudou";"ncls";"s";"max_id";"vtcc2";"vtcc3";"vtcc4";"vtcc5";"vtcc6";"vtcc7";"vtcc8";"vtcc9";"vtcc10";"ima2";"ima3";"ima4";"ima5";"ima6";"ima7";"ima8";"ima9";"ima10";"ica3";"ica4";"ica5";"ica6";"ica7";"ica8";"ica9";"ica10"
1539;494631;985;119,53;283,38;84,99;1440,856808;1416,838561;15,77070589;26,56391208;29,25445246;26,53286739;274,962878;308,9878655;26,4854688;26,41551553;28,46286252;30,45534711;32,3991629;34,29935677;3;0;1;3;26,72;84,99;40,6005621701882;103,90521185239;166,222563117026;220,354315495416;265,914866026597;304,118872959957;336,332579890717;336,332579890717;387,244030245023;20,3002810850941;34,6350706174635;41,5556407792564;44,0708630990833;44,3191443377662;43,4455532799939;42,0415724863397;37,3702866545242;38,7244030245023;63,3046496822022;62,3173512646351;54,1317523783909;45,5605505311806;38,2040069333603;32,2137069307599;0;50,9114503543054
1540;494631;985;119,53;283,38;84,99;1465,268288;1392,002804;16,05010816;26,9881896;30,14440043;27,0192343;284,2245459;319,3981872;27,60561369;26,41551553;28,46286252;30,45534711;32,3991629;34,29935677;3;0;1;3;26,72;84,99;43,7088812123569;109,142968336915;172,46810691497;226,953360437206;272,534716217471;310,596805526885;342,592893033297;342,592893033297;392,999737280249;21,8544406061784;36,3809894456383;43,1170267287425;45,3906720874413;45,4224527029118;44,3709722181264;42,8241116291622;38,0658770036997;39,2999737280249;65,4340871245581;63,325138578055;54,4852535222365;45,5813557802643;38,0620893094141;31,9960875064126;0;50,4068442469513
1541;494631;986;26,29;207,34;85,68;1399,670844;1376,345929;16,77448441;25,97406285;28,73704085;29,23375599;296,4975493;333,1820325;25,67114813;26,57666889;28,60063229;30,56801049;32,48524888;34,35759375;3;0;2;3;26,72;85,68;59,4625083721396;134,002052728555;201,161823618944;256,688275173046;301,981040273096;339,148127333376;369,995748076991;369,995748076991;417,952538287217;29,7312541860698;44,6673509095183;50,290455904736;51,3376550346091;50,3301733788493;48,4497324761966;46,2494685096239;41,1106386752212;41,7952538287217;74,5395443564152;67,1597708903893;55,5264515541014;45,2927651000501;37,1670870602802;30,847620743615;0;47,9567902102257
1542;494631;987;54,02;186,09;85,74;1390,895543;1344,525115;16,06045639;25,74640174;27,47455652;25,67396411;253,6765644;285,0627527;24,08377042;26,59058938;28,61252481;30,57772979;32,4926712;34,36261232;4;0;2;4;24,31;85,74;47,7057082252703;107,606609432268;161,611866980123;206,278434757483;242,721108736734;272,630531422749;297,457344982798;297,457344982798;336,058579414138;23,8528541126351;35,8688698107561;40,4029667450307;41,2556869514967;40,453518122789;38,9472187746784;37,1821681228497;33,0508161091997;33,6058579414138;59,900901206998;54,0052575478544;44,6665677773608;36,4426739792504;29,9094226860146;24,8268135600492;0;38,6012344313407
1543;494631;987;54,02;186,09;85,74;1416,952392;1369,72306;17,00214552;27,28828834;30,50658855;29,73047114;316,1074493;355,2134188;27,9083245;26,59058938;28,61252481;30,57772979;32,4926712;34,36261232;3;0;1;2;29,13;85,74;46,0233704770054;120,99580846481;196,185216597216;262,182590285992;318,098946563843;365,201458274363;405,051464883942;405,051464883942;468,251301235763;23,0116852385027;40,3319361549366;49,0463041493039;52,4365180571984;53,0164910939738;52,1716368963375;50,6314331104928;45,005718320438;46,8251301235763;74,9724379878045;75,1894081324059;65,9973736887762;55,9163562778511;47,1025117105197;39,8500066095794;0;63,1998363518212
1544;494631;988;149,76;86,48;85,71;1511,173046;1511,173046;15,51200008;24,91854316;27,18480601;27,38142243;266,2289701;299,1673932;23,73513156;26,58363099;28,6065803;30,57287168;32,4889613;34,36010394;4;0;2;4;24,31;85,71;62,1331246032521;128,333738304229;184,437688504615;229,274083457204;265,068729317958;294,009265917468;317,770010926029;317,770010926029;354,295434952672;31,0665623016261;42,7779127680764;46,1094221261537;45,8548166914407;44,178121552993;42,0013237024954;39,7212513657537;35,3077789917811;35,4295434952672;66,2006137009771;56,1039502003856;44,8363949525889;35,7946458607541;28,9405365995097;23,760745008562;0;36,5254240266429
1545;494631;989;77,3;266,08;86,14;1498,113577;1373,272504;16,73309148;26,93644844;31,51036708;29,89604285;326,3521992;366,7310013;29,13462767;26,68301457;28,69145275;30,64221049;32,54189626;34,39588521;2;0;0;2;29,13;86,14;46,6573302191652;122,104396534804;197,531794973195;263,621262369877;319,552867322109;366,631743512935;406,439186174251;406,439186174251;469,534259153163;23,3286651095826;40,7014655116014;49,3829487432987;52,7242524739755;53,2588112203514;52,3759633589907;50,8048982717813;45,1599095749167;46,9534259153163;75,4470663156391;75,4273984383907;66,0894673966824;55,9316049522312;47,0788761908261;39,807442661316;0;63,0950729789124
1546;494631;990;43,76;295,71;78,94;1509,724294;1486,844352;15,75000942;24,56670327;28,72669261;28,63355852;284,8247433;324,1687222;27,24489226;24,91652531;27,17289879;29,39412362;31,58382396;33,74498427;3;0;1;2;29,13;78,94;46,6830630829789;122,14928847407;197,586259706656;263,679410642951;319,61160406721;366,689505846546;406,495215321976;406,495215321976;469,586040069222;23,3415315414895;40,7164294913568;49,396564926664;52,7358821285903;53,2686006778683;52,3842151209351;50,811901915247;45,1661350357751;46,9586040069222;75,4662253910915;75,4369712325855;66,0931509362956;55,9321934242585;47,0779017793355;39,8057094754304;0;63,0908247472464
1547;494631;990;43,76;295,71;78,94;1428,056045;1283,180794;16,43299275;25,80849113;29,07853251;26,32590274;266,1875771;302,9548462;27,64254021;24,91652531;27,17289879;29,39412362;31,58382396;33,74498427;3;0;1;3;26,72;78,94;45,0848764837215;111,421728206498;175,161797540541;229,784693097893;275,365099891209;313,359625943637;345,257918499468;345,257918499468;395,443552357959;22,5424382418607;37,1405760688328;43,7904493851352;45,9569386195786;45,8941833152015;44,765660849091;43,1572398124335;38,3619909443853;39,5443552357959;66,3368517227768;63,7400693340426;54,6228955573522;45,5804067933158;37,9945260524279;31,8982925558308;0;50,1856338584912
1548;494631;991;69,81;71,05;75;1624,092956;1532,593887;15,10841903;21,1724831;25,97406285;27,65047646;238,8992888;271,8998013;25,21140828;23,85485149;26,24959805;28,62726408;30,98948502;33,33761827;4;0;2;3;26,72;75;58,7570276498979;132,940052557638;199,964941407775;255,465741569483;300,782021843104;337,993578906111;368,893396751958;368,893396751958;416,956055556924;29,3785138249489;44,3133508525459;49,9912353519436;51,0931483138966;50,1303369738506;48,2847969865872;46,1116745939948;40,988155194662;41,6956055556924;74,1830249077397;67,024888850137;55,5008001617084;45,3162802736207;37,211557063007;30,8998178458475;0;48,0626588049662
