estrato;talhao;area;distkm;parcela;id;ncovas;nfustes;dapmed;htmed;hd;ab;vtsc;vtcc;sitio;licl4;lscl4;lscl3;lscl2;lscl1;cls;mudou;nmudou;ncls;s
573116;130;105,1;249,28;227;18,96;1680;1700;7,42;9,68;11,26;7,54;27,33;33,32;28,59760905;3,25941007;5,164459107;7,855293495;11,54643991;16,48627159;2;0;1;2;27,62
573116;128;83,2;229,54;225;19,35;1620;1600;7,57;10,11;11,18;7,39;27,89;34,01;28,44317657;3,382350739;5,321679456;8,042699533;11,75249666;16,68936804;2;0;0;2;27,62
573116;129;91,96;347,04;226;19,45;1700;1640;8,84;12,9;13,88;10,23;48,94;59,68;29,77183647;3,41411038;5,362116853;8,090708259;11,80508943;16,74102913;1;0;1;1;29,87
573116;131;135,13;119,54;228;19,45;1440;1480;9,25;12,62;13,4;10,01;46,36;56,53;29,54668653;3,41411038;5,362116853;8,090708259;11,80508943;16,74102913;1;0;0;1;29,87
573116;185;39,04;51,43;307;20,5;1565,97;1565,97;8,89;10,52;11,13;9,82;38,12;46,49;28,08530894;3,75317595;5,789525229;8,593546081;12,35136593;17,273516;2;0;1;1;29,87
573116;202;71,82;241,48;334;20,5;1360;1360;7,97;10,52;11,4;6,91;27,32;34,15;28,23694735;3,75317595;5,789525229;8,593546081;12,35136593;17,273516;2;0;1;2;27,62
573116;202;71,82;241,48;335;20,5;1340;1320;8,57;10,49;11,42;7,69;29,34;36,83;28,24806862;3,75317595;5,789525229;8,593546081;12,35136593;17,273516;2;0;1;1;29,87
573116;186;164,11;125,38;308;20,66;1392,6;1370,5;10,16;12,62;13,32;11,37;51,43;63,7;29,20096989;3,805707476;5,855072259;8,669946305;12,43365785;17,35309621;1;0;1;1;29,87
573116;184;69,94;112,06;305;20,76;1570,31;1465,62;9,71;10,1;11,32;10,99;41,3;50,36;28,11808532;3,838651551;5,896090949;8,717663749;12,48496317;17,40262885;2;0;1;1;29,87
573116;184;69,94;112,06;306;20,76;1620,31;1620,31;9,66;10,3;11,13;11,97;45,34;55,29;28,01030347;3,838651551;5,896090949;8,717663749;12,48496317;17,40262885;2;0;1;1;29,87
573116;117;54,69;166,3;207;21,81;1580;1560;9,94;12,74;14,1;12,38;58,54;72,16;29,29705211;4,189568018;6,328998849;9,217057518;13,01778903;17,91340361;1;0;0;1;29,87
573116;118;132,82;172,17;209;22,08;1560;1520;10,38;12,57;14,12;13,21;61,08;75,51;29,24035515;4,281220017;6,44091056;9,344952246;13,15307394;18,04205799;1;0;1;1;29,87
573116;165;55,87;174,17;275;22,17;1494,36;1369,83;9,75;11,13;14,16;10,44;43,35;53,97;29,23793327;4,311894051;6,47826304;9,387533287;13,19801263;18,08470391;1;0;0;1;29,87
573116;188;176,53;181,5;311;22,31;1670,01;1642,17;9,78;10,91;12,08;12,48;48,02;60,32;28,10893778;4,359729949;6,536413365;9,453719164;13,26776221;18,15080647;2;0;1;2;27,62
573116;206;66,66;201,28;342;22,4;1730,1;1730,1;7,74;11,19;11,9;8,21;35,46;43,93;27,98249085;4,390558446;6,57382485;9,496233817;13,31250168;18,19315032;2;0;1;2;27,62
573116;206;66,66;201,28;343;22,4;1720,38;1777,73;6,06;8,16;9,4;5,25;16,74;21,27;26,43496475;4,390558446;6,57382485;9,496233817;13,31250168;18,19315032;3;0;1;3;25,37
573116;164;178,25;71,5;273;22,47;1621,49;1567,44;9,16;12,83;13,2;10,41;50,3;61,8;28,67296666;4,414577359;6,602938064;9,529282474;13,34724523;18,22600328;2;0;1;1;29,87
573116;164;178,25;71,5;274;22,47;1795,01;1795,01;8,47;12,32;12,84;10,22;48,14;59,22;28,48184604;4,414577359;6,602938064;9,529282474;13,34724523;18,22600328;2;0;1;2;27,62
573116;189;154,98;244,54;313;22,93;1617,25;1617,25;9,9;10,06;12,22;12,64;43,93;55,69;28,01624069;4,573295306;6,79457204;9,74605155;13,57439147;18,44014492;2;0;1;2;27,62
573116;199;118,9;260,64;329;23,23;1581,9;1502,81;7,8;9,91;10,8;7,28;26,86;33,78;27,08842453;4,677607935;6,919828366;9,887029635;13,72144092;18,57818731;2;0;1;3;25,37
573116;163;70,66;260,58;272;23,39;1681,43;1681,43;7,76;11,23;12,12;8,09;34,95;43,3;27,831853;4,733492275;6,986714242;9,962087013;13,79951688;18,65129579;2;0;1;2;27,62
573116;209;78,57;302,94;347;23,46;1600;1580;8,47;10;11,56;9,09;33,12;41,76;27,48443136;4,757995617;7,015993978;9,994895479;13,83359862;18,68316919;2;0;0;2;27,62
573116;203;95,79;92,8;336;23,49;1702,07;1702,07;7,24;8,16;9,14;7,22;21,27;27,31;25,90275062;4,768507015;7,028545555;10,00895078;13,84819084;18,6968085;3;0;1;2;27,62
573116;204;65,6;202,44;337;23,52;1591,55;1569,44;7,98;9,88;10,46;7,96;28,83;36,34;26,7856921;4,779024366;7,041098979;10,02300278;13,86277452;18,71043542;2;0;0;2;27,62
573116;126;36,12;88,16;223;23,59;1660;1680;8,73;11,15;12,16;10,15;41,66;50,79;27,79920751;4,803587903;7,070397395;10,0557779;13,89676992;18,74218343;2;0;1;2;27,62
573116;183;159,55;266,43;303;23,62;1580,65;1580,65;9,4;12,81;13,38;11,03;51,82;63,19;28,46904942;4,814124969;7,082956859;10,06981884;13,91132517;18,75576913;2;0;1;2;27,62
573116;210;155,01;302,46;348;23,62;1640;1620;8,95;11,2;12,98;10,41;43,05;53,67;28,25198328;4,814124969;7,082956859;10,06981884;13,91132517;18,75576913;2;0;0;2;27,62
573116;182;76,34;65,82;301;23,65;1460,81;1436,47;9,28;13,14;14,07;9,82;47,65;58,1;28,82482745;4,824667912;7,0955181;10,08385644;13,92587188;18,76934251;1;0;1;2;27,62
573116;125;24,09;189,79;222;23,88;1340;1260;10,45;12,91;13,76;10,95;52,17;63,61;28,60445837;4,905690461;7,191878229;10,19136626;14,0371138;18,87299723;2;0;1;2;27,62
