projeto;idade;custo;receita;produção
3;0;3500;0;0
3;1;686,225195;0;0
3;2;676,225195;0;0
3;3;6094,039467;9862,326155;139,5348918
4;0;3500;0;0
4;1;686,225195;0;0
4;2;676,225195;0;0
4;3;606,225195;0;0
4;4;9106,845882;15296,54137;216,4196572
5;0;3500;0;0
5;1;686,225195;0;0
5;2;676,225195;0;0
5;3;606,225195;0;0
5;4;606,225195;0;0
5;5;11661,82569;19904,97225;281,6209996
6;0;3500;0;0
6;1;686,225195;0;0
6;2;676,225195;0;0
6;3;606,225195;0;0
6;4;606,225195;0;0
6;5;606,225195;0;0
6;6;13779,73109;23725,04967;335,6685013
7;0;3500;0;0
7;1;686,225195;0;0
7;2;676,225195;0;0
7;3;606,225195;0;0
7;4;606,225195;0;0
7;5;606,225195;0;0
7;6;606,225195;0;0
7;7;15537,08317;26894,79512;380,5149282
8;0;3500;0;0
8;1;686,225195;0;0
8;2;676,225195;0;0
8;3;606,225195;0;0
8;4;606,225195;0;0
8;5;606,225195;0;0
8;6;606,225195;0;0
8;7;606,225195;0;0
8;8;17007,52905;29547,0463;418,0397043
9;0;3500;0;0
9;1;686,225195;0;0
9;2;676,225195;0;0
9;3;606,225195;0;0
9;4;606,225195;0;0
9;5;606,225195;0;0
9;6;606,225195;0;0
9;7;606,225195;0;0
9;8;606,225195;0;0
9;9;18250,75124;31789,45289;449,7658869
10;0;3500;0;0
10;1;686,225195;0;0
10;2;676,225195;0;0
10;3;606,225195;0;0
10;4;606,225195;0;0
10;5;606,225195;0;0
10;6;606,225195;0;0
10;7;606,225195;0;0
10;8;606,225195;0;0
10;9;606,225195;0;0
10;10;19312,92597;33705,3032;476,8718618
