"estrato";"talhao";"area";"distkm";"parcela";"id";"ncovas";"nfustes";"dapmed";"htmed";"hd";"ab";"vtsc";"vtcc";"sitio";"licl4";"lscl4";"lscl3";"lscl2";"lscl1"
573116;130;105,1;249,28;227;18,96;1680;1700;7,42;9,68;11,26;7,54;27,33;33,32;29,4710042216724;5,46854245411962;7,31537481026647;9,49016846653824;12,0096025123796;14,8894916804572
573116;128;83,2;229,54;225;19,35;1620;1600;7,57;10,11;11,18;7,39;27,89;34,01;29,1189080914671;5,64666470845396;7,52359051725383;9,72553053842574;12,2677976111355;15,1648616453251
573116;129;91,96;347,04;226;19,45;1700;1640;8,84;12,9;13,88;10,23;48,94;59,68;31,7581811321384;5,69227377382333;7,57677283846234;9,78551302355835;12,333466838172;15,2347705039418
573116;131;135,13;119,54;228;19,45;1440;1480;9,25;12,62;13,4;10,01;46,36;56,53;31,3011621023251;5,69227377382333;7,57677283846234;9,78551302355835;12,333466838172;15,2347705039418
573116;185;39,04;51,43;307;20,5;1565,97;1565,97;8,89;10,52;11,13;9,82;38,12;46,49;28,3005971523725;6,16927279953341;8,12988760008406;10,4062564968774;13,0100137240819;15,9520501150862
573116;202;71,82;241,48;334;20,5;1360;1360;7,97;10,52;11,4;6,91;27,32;34,15;28,5916013522218;6,16927279953341;8,12988760008406;10,4062564968774;13,0100137240819;15,9520501150862
573116;202;71,82;241,48;335;20,5;1340;1320;8,57;10,49;11,42;7,69;29,34;36,83;28,6129993120634;6,16927279953341;8,12988760008406;10,4062564968774;13,0100137240819;15,9520501150862
573116;186;164,11;125,38;308;20,66;1392,6;1370,5;10,16;12,62;13,32;11,37;51,43;63,7;30,4559083910688;6,24161267379724;8,21329668912752;10,4993897629152;13,1110536557976;16,0587239729445
573116;184;69,94;112,06;305;20,76;1570,31;1465,62;9,71;10,1;11,32;10,99;41,3;50,36;28,3381282625096;6,28677350463125;8,26530685111253;10,5574025855715;13,1739318377985;16,1250507003471
573116;184;69,94;112,06;306;20,76;1620,31;1620,31;9,66;10,3;11,13;11,97;45,34;55,29;28,1323951445875;6,28677350463125;8,26530685111253;10,5574025855715;13,1739318377985;16,1250507003471
573116;117;54,69;166,3;207;21,81;1580;1560;9,94;12,74;14,1;12,38;58,54;72,16;30,5195843524497;6,75835693648763;8,80570532629216;11,1574845858503;13,8217218750501;16,8058589002603
573116;118;132,82;172,17;209;22,08;1560;1520;10,38;12,57;14,12;13,21;61,08;75,51;30,3810179170239;6,87879123037983;8,94294992793057;11,3091313602507;13,9846898502538;16,9764305395826
573116;165;55,87;174,17;275;22,17;1494,36;1369,83;9,75;11,13;14,16;10,44;43,35;53,97;30,3673665933682;6,91885550619747;8,98853991887755;11,3594398337014;14,0386903611372;17,0328897216286
573116;188;176,53;181,5;311;22,31;1670,01;1642,17;9,78;10,91;12,08;12,48;48,02;60,32;28,1878419322846;6,98109610972985;9,05929978130325;11,4374590701989;14,1223730395449;17,1203231602084
573116;206;66,66;201,28;342;22,4;1730,1;1730,1;7,74;11,19;11,9;8,21;35,46;43,93;27,9432852190292;7,02105482791763;9,10468650196666;11,487461295006;14,1759653869471;17,1762798772563
573116;206;66,66;201,28;343;22,4;1720,38;1777,73;6,06;8,16;9,4;5,25;16,74;21,27;25,1106665163508;7,02105482791763;9,10468650196666;11,487461295006;14,1759653869471;17,1762798772563
573116;164;178,25;71,5;273;22,47;1621,49;1567,44;9,16;12,83;13,2;10,41;50,3;61,8;29,2467497321704;7,05210478500649;9,13993210255655;11,5262692642204;14,2175385593909;17,2196669817311
573116;164;178,25;71,5;274;22,47;1795,01;1795,01;8,47;12,32;12,84;10,22;48,14;59,22;28,881737189539;7,05210478500649;9,13993210255655;11,5262692642204;14,2175385593909;17,2196669817311
573116;189;154,98;244,54;313;22,93;1617,25;1617,25;9,9;10,06;12,22;12,64;43,93;55,69;27,9688471983671;7,25550151962652;9,37033991140131;11,7795002335842;14,4883636893065;17,5018814712121
573116;199;118,9;260,64;329;23,23;1581,9;1502,81;7,8;9,91;10,8;7,28;26,86;33,78;26,2444354135156;7,38753154819007;9,51947252774186;11,9429826010638;14,6627966277731;17,6832627523363
573116;163;70,66;260,58;272;23,39;1681,43;1681,43;7,76;11,23;12,12;8,09;34,95;43,3;27,5962157275923;7,45774203739029;9,59864244460668;12,0296378468075;14,7551285837191;17,7791515349867
573116;209;78,57;302,94;347;23,46;1600;1580;8,47;10;11,56;9,09;33,12;41,76;26,953031120462;7,48841353250241;9,63319872784936;12,0674328304842;14,7953720168192;17,8209192053287
573116;203;95,79;92,8;336;23,49;1702,07;1702,07;7,24;8,16;9,14;7,22;21,27;27,31;24,1312639736717;7,50154990730015;9,64799353946123;12,0836089773835;14,8125910173783;17,8387855747039
573116;204;65,6;202,44;337;23,52;1591,55;1569,44;7,98;9,88;10,46;7,96;28,83;36,34;25,6864635452899;7,51468113463913;9,66277933277575;12,0997721143497;14,829793136963;17,8566315565702
573116;126;36,12;88,16;223;23,59;1660;1680;8,73;11,15;12,16;10,15;41,66;50,79;27,5239866355649;7,54530058408117;9,69724443170683;12,1374355535423;14,8698658846313;17,8981930860147
573116;183;159,55;266,43;303;23,62;1580,65;1580,65;9,4;12,81;13,38;11,03;51,82;63,19;28,7705906586143;7,55841457236088;9,71200014586333;12,1535553847841;14,8870118845549;17,9159713534246
573116;210;155,01;302,46;348;23,62;1640;1620;8,95;11,2;12,98;10,41;43,05;53,67;28,3632469671786;7,55841457236088;9,71200014586333;12,1535553847841;14,8870118845549;17,9159713534246
573116;182;76,34;65,82;301;23,65;1460,81;1436,47;9,28;13,14;14,07;9,82;47,65;58,1;29,4417652756582;7,57152336501212;9,72674683110391;12,169662242683;14,9041410936442;17,9337293794513
573116;125;24,09;189,79;222;23,88;1340;1260;10,45;12,91;13,76;10,95;52,17;63,61;29,0075551220455;7,67185034977723;9,8395045616532;12,2927180725319;15,0349094262211;18,0692053654468
573116;109;63;132,79;190;24,01;1392,37;1369,16;9,19;10,98;11,6;9,25;36,46;45,68;26,6813335370211;7,72841974666544;9,90300204744567;12,3619357688723;15,1083894815666;18,1452590265243
573116;167;71,88;348,13;277;24,01;1378,55;1355,57;11,65;13,51;15,19;14,66;75,59;92,21;30,3275151026205;7,72841974666544;9,90300204744567;12,3619357688723;15,1083894815666;18,1452590265243
573116;149;137,81;172,21;255;24,05;1500;1540;7,71;9,57;11,68;7,37;26,43;33,33;26,7459213431714;7,74580561586763;9,92250554136788;12,3831849085611;15,1309362386845;18,1685851930973
573116;151;132,21;325,1;258;24,05;1640;1720;7,23;8,91;11,04;7,26;24,36;30,89;26,0386195735205;7,74580561586763;9,92250554136788;12,3831849085611;15,1309362386845;18,1685851930973
573116;207;52,63;223,59;345;24,05;1609,23;1636,05;8,77;12,14;13,6;10,03;46,46;57,27;28,7536202411021;7,74580561586763;9,92250554136788;12,3831849085611;15,1309362386845;18,1685851930973
573116;208;32,46;137,26;346;24,05;1629,68;1656,84;8,65;11,66;12,3;9,88;43,04;53,36;27,4119865167424;7,74580561586763;9,92250554136788;12,3831849085611;15,1309362386845;18,1685851930973
573116;187;164,42;238,2;310;24,08;1531,12;1480,08;10,66;13,65;15,06;13,34;66,34;81,46;30,1663879354345;7,75883878525237;9,9371225982329;12,3991067738488;15,1478270616615;18,1860567538578
573116;150;36,9;147,66;257;24,44;1640;1620;7,74;9,17;11,04;7,69;25,62;32,52;25,8174362387102;7,91481661299292;10,1118206153952;12,5891704213263;15,3492379910873;18,3941856286145
573116;195;46,37;56,65;324;24,51;1715,02;1715,02;9,28;12,14;13;12,01;53,89;66,73;27,8895452395229;7,94505477021378;10,145638101164;12,6259139204804;15,3881288025258;18,4343299167277
573116;195;46,37;56,65;325;24,51;1662,05;1717,45;9,33;10,82;11,46;11,93;45,37;57,05;26,2459240553853;7,94505477021378;10,145638101164;12,6259139204804;15,3881288025258;18,4343299167277
573116;193;76,31;340,21;321;24,67;1725,03;1667,53;7,52;10,08;10,62;7,49;28,39;35,6;25,2107954461009;8,01405830100993;10,222749826773;12,7096395249674;15,4766917829941;18,5256949825659
573116;111;128,23;230,75;194;24,74;1460,32;1460,32;9,81;10,28;11,92;11,19;39,55;50,1;26,620949390192;8,04419798610521;10,2564050942731;12,7461562165927;15,5152941920488;18,5654960739629
573116;110;56,12;221,89;191;24,77;1323,92;1279,79;9,79;12,82;13,4;9,68;45,38;55,96;28,1589011049487;8,05710575762095;10,2708136658948;12,7617851695635;15,5318113677053;18,5825219500973
573116;148;129,81;72,96;252;24,8;1720;1680;7,68;9,03;10,04;7,87;25,59;32,56;24,4616835011834;8,07000797587959;10,2852131689412;12,7774015019967;15,5483125445901;18,5995288310047
573116;179;141,86;288,45;294;24,84;1526,02;1551,45;9;12,77;13;9,95;48,01;58,98;27,7099417082221;8,08720228165877;10,3043983999096;12,7982036635594;15,5702892621708;18,6221751783311
