"estrato";"talhao";"area";"distkm";"parcela";"id";"ncovas";"nfustes";"dapmed";"htmed";"hd";"ab";"vtsc";"vtcc";"sitio";"licl4";"lscl4";"lscl3";"lscl2";"lscl1"
573116;109;63;132,79;190;24,01;1392,37;1369,16;9,19;10,98;11,6;9,25;36,46;45,68;24,2233958156425;9,09864172956604;11,2535831918317;13,4085246540973;15,563466116363;17,7184075786286
573116;109;63;132,79;190;37,65;1392,37;1369,16;12,07;16,3;17,06;15,92;94,95;119,3;23,8750671912229;13,576506294364;16,7919946272396;20,0074829601153;23,222971292991;26,4384596258666
573116;109;63;132,79;190;47,6;1392,37;1369,16;12,87;19,41;20,72;18,1;140,24;164,28;25,0265305494491;15,7305064408405;19,4561527031448;23,1817989654492;26,9074452277535;30,6330914900578
573116;109;63;132,79;190;61,86;1392,37;1369,16;14,03;22,3;23,6;21,56;199,65;237,38;25,069003848;17,8866301476823;22,1229372879229;26,3592444281634;30,595551568404;34,8318587086445
573116;109;63;132,79;190;72,37;1392,37;1369,16;14,52;24;25,2;23,17;220,12;250,52;25,1525824458485;19,0358187287853;23,5443021119187;28,052785495052;32,5612688781854;37,0697522613188
573116;109;63;132,79;190;84,99;1392,37;1369,16;15,24;25,67;28,27;25,64;265,71;298,59;26,7222442409977;20,100482397954;24,8611229658904;29,6217635338269;34,3824041017633;39,1430446696998
573116;110;56,12;221,89;191;24,77;1323,92;1279,79;9,79;12,82;13,4;9,68;45,38;55,96;27,0496429401421;9,4123238729399;11,6415584744257;13,8707930759114;16,1000276773972;18,329262278883
573116;110;56,12;221,89;191;38,4;1323,92;1279,79;12,01;16,39;16,5;14,6;87,44;109,51;22,7758112448095;13,7646030093196;17,0246405641585;20,2846781189973;23,5447156738362;26,804753228675
573116;110;56,12;221,89;191;48,36;1323,92;1279,79;12,95;18,98;20,06;16,97;126,62;149,13;24,018102375031;15,8688639946938;19,6272791513319;23,3856943079699;27,1441094646079;30,9025246212459
573116;110;56,12;221,89;191;62,61;1323,92;1279,79;13,94;20,71;21,92;19,69;168,21;199,99;23,1651430942032;17,978736341336;22,2368581063893;26,4949798714425;30,7531016364958;35,0112234015491
573116;110;56,12;221,89;191;73,13;1323,92;1279,79;14,7;22,74;23,81;21,94;195,64;222,66;23,67485152227;19,1084619717448;23,6341503334738;28,1598386952029;32,6855270569319;37,2112154186609
573116;110;56,12;221,89;191;85,74;1323,92;1279,79;15,59;24,63;25,92;24,72;242,12;272,08;24,4341106974742;20,1554296817895;24,929084080108;29,7027384784266;34,4763928767451;39,2500472750637
573116;110;56,12;221,89;192;38,4;1344,09;1299,28;12,33;16,14;17,36;15,59;90,88;114,98;23,9629141339329;13,7646030093196;17,0246405641585;20,2846781189973;23,5447156738362;26,804753228675
573116;110;56,12;221,89;192;48,36;1344,09;1299,28;13,09;17,21;18,36;17,57;114,09;137,14;21,9826699703674;15,8688639946938;19,6272791513319;23,3856943079699;27,1441094646079;30,9025246212459
573116;110;56,12;221,89;192;62,61;1344,09;1299,28;14,34;20,47;21,13;21,09;177,41;210,93;22,3302679553154;17,978736341336;22,2368581063893;26,4949798714425;30,7531016364958;35,0112234015491
573116;110;56,12;221,89;192;73,13;1344,09;1299,28;14,93;21,57;23,23;22,92;193,83;220,6;23,0981436733444;19,1084619717448;23,6341503334738;28,1598386952029;32,6855270569319;37,2112154186609
