"parcela";"estrato";"talhao";"area";"distkm";"id";"ncovas";"nfustes";"dapmed";"htmed";"hd";"ab";"vtsc";"vtcc";"sitio";"licl4";"lscl4";"lscl3";"lscl2";"lscl1";"cls";"mudou";"nmudou";"ncls";"s";"max_id";"vtcc2";"vtcc3";"vtcc4";"vtcc5";"vtcc6";"vtcc7";"vtcc8";"vtcc9";"vtcc10";"ima2";"ima3";"ima4";"ima5";"ima6";"ima7";"ima8";"ima9";"ima10";"ica3";"ica4";"ica5";"ica6";"ica7";"ica8";"ica9";"ica10"
1539;494631;985;119,53;283,38;84,99;1440,856808;1416,838561;15,77070589;26,56391208;29,25445246;26,53286739;274,962878;308,9878655;26,4854688;26,41551553;28,46286252;30,45534711;32,3991629;34,29935677;3;0;1;3;26,715;84,99;42,4308749739473;106,481259290996;168,682012647268;222,303413571286;267,217175869175;304,753586722091;336,327336177684;363,129417901403;386,100928673902;21,2154374869737;35,4937530969985;42,1705031618171;44,4606827142573;44,5361959781958;43,5362266745845;42,0409170222105;40,3477131001558;38,6100928673902;64,0503843170483;62,2007533562727;53,6214009240181;44,9137622978883;37,5364108529167;31,5737494555927;26,8020817237184;22,9715107724992
1540;494631;985;119,53;283,38;84,99;1465,268288;1392,002804;16,05010816;26,9881896;30,14440043;27,0192343;284,2245459;319,3981872;27,60561369;26,41551553;28,46286252;30,45534711;32,3991629;34,29935677;3;0;1;3;26,715;84,99;45,6410383915237;111,786372835453;174,946612949664;228,88405720396;273,79291953243;311,170491171002;342,51575256035;369,062564756907;391,773947032571;22,8205191957618;37,2621242784844;43,736653237416;45,776811440792;45,632153255405;44,4529273101432;42,8144690700438;41,0069516396563;39,1773947032571;66,1453344439295;63,1602401142107;53,9374442542963;44,9088623284696;37,3775716385725;31,3452613893478;26,546812196557;22,7113822756644
1541;494631;986;26,29;207,34;85,68;1399,670844;1376,345929;16,77448441;25,97406285;28,73704085;29,23375599;296,4975493;333,1820325;25,67114813;26,57666889;28,60063229;30,56801049;32,48524888;34,35759375;3;0;2;3;26,715;85,68;61,9029633270809;136,970217873578;203,743376973134;258,557959846332;303,068537853471;339,480148382471;369,631973062783;394,922995772524;416,396179942235;30,9514816635405;45,6567392911928;50,9358442432836;51,7115919692664;50,5114229755785;48,4971640546388;46,2039966328479;43,8803328636137;41,6396179942235;75,0672545464975;66,7731590995559;54,8145828731977;44,5105780071392;36,4116105290001;30,1518246803119;25,2910227097405;21,4731841697117
1542;494631;987;54,02;186,09;85,74;1390,895543;1344,525115;16,06045639;25,74640174;27,47455652;25,67396411;253,6765644;285,0627527;24,08377042;26,59058938;28,61252481;30,57772979;32,4926712;34,36261232;4;0;2;4;24,305;85,74;51,0004229970748;111,531269122528;164,933196932196;208,571486723967;243,9043298287;272,750549209129;296,602786328158;316,587525749046;333,54056218345;25,5002114985374;37,1770897075093;41,233299233049;41,7142973447933;40,6507216381166;38,9643641727327;37,0753482910197;35,176391749894;33,354056218345;60,530846125453;53,4019278096681;43,6382897917707;35,3328431047333;28,8462193804287;23,8522371190293;19,9847394208882;16,9530364344042
1543;494631;987;54,02;186,09;85,74;1416,952392;1369,72306;17,00214552;27,28828834;30,50658855;29,73047114;316,1074493;355,2134188;27,9083245;26,59058938;28,61252481;30,57772979;32,4926712;34,36261232;3;0;1;2;29,125;85,74;46,8882352254806;122,353853016066;197,648959181832;263,54856788149;319,279778304423;366,16690874432;405,797954893153;439,564557474642;468,589894468168;23,4441176127403;40,784617672022;49,4122397954581;52,709713576298;53,2132963840705;52,3095583920457;50,7247443616442;48,8405063860714;46,8589894468168;75,4656177905854;75,2951061657662;65,8996086996577;55,7312104229332;46,8871304398966;39,6310461488336;33,7666025814889;29,0253369935258
1544;494631;988;149,76;86,48;85,71;1511,173046;1511,173046;15,51200008;24,91854316;27,18480601;27,38142243;266,2289701;299,1673932;23,73513156;26,58363099;28,6065803;30,57287168;32,4889613;34,36010394;4;0;2;4;24,305;85,71;66,2228574171051;132,745376206527;187,942563385312;231,541366461368;266,091431138714;293,883624507804;316,61665839211;335,506844863943;351,427290398784;33,1114287085525;44,2484587355091;46,9856408463279;46,3082732922735;44,3485718564523;41,9833749296863;39,5770822990137;37,2785383182159;35,1427290398784;66,5225187894222;55,1971871787842;43,5988030760562;34,5500646773458;27,7921933690909;22,7330338843053;18,8901864718333;15,9204455348412
1545;494631;989;77,3;266,08;86,14;1498,113577;1373,272504;16,73309148;26,93644844;31,51036708;29,89604285;326,3521992;366,7310013;29,13462767;26,68301457;28,69145275;30,64221049;32,54189626;34,39588521;2;0;0;2;29,125;86,14;47,5311125683269;123,469695975727;198,999313473295;264,988055183446;320,732358251111;367,594355850312;407,181818106429;440,896763126268;469,867857492435;23,7655562841634;41,1565653252424;49,7498283683237;52,9976110366892;53,4553930418518;52,5134794071874;50,8977272633037;48,988529236252;46,9867857492435;75,9385834074003;75,5296174975675;65,9887417101514;55,7443030676646;46,8619975992008;39,5874622561179;33,714945019839;28,971094366167
1546;494631;990;43,76;295,71;78,94;1509,724294;1486,844352;15,75000942;24,56670327;28,72669261;28,63355852;284,8247433;324,1687222;27,24489226;24,91652531;27,17289879;29,39412362;31,58382396;33,74498427;3;0;1;2;29,125;78,94;47,4779465713586;123,377607327487;198,887986843761;264,869454260688;320,61272841649;367,476830828164;407,06790685671;440,787123037688;469,76269615177;23,7389732856793;41,1258691091624;49,7219967109402;52,9738908521376;53,4354547360816;52,4966901183091;50,8834883570888;48,9763470041876;46,976269615177;75,8996607561285;75,5103795162738;65,981467416927;55,7432741558018;46,8641024116737;39,5910760285465;33,719216180978;28,9755731140821
1547;494631;990;43,76;295,71;78,94;1428,056045;1283,180794;16,43299275;25,80849113;29,07853251;26,32590274;266,1875771;302,9548462;27,64254021;24,91652531;27,17289879;29,39412362;31,58382396;33,74498427;3;0;1;3;26,715;78,94;46,8701073963979;113,784337723436;177,286536141876;231,32987117695;276,228842440332;313,541962037548;344,798730251031;371,248353270595;393,861597843319;23,435053698199;37,9281125744788;44,321634035469;46,26597423539;46,0381404067221;44,7917088625069;43,0998412813788;41,2498170300662;39,3861597843319;66,9142303270386;63,5021984184396;54,0433350350739;44,8989712633825;37,3131195972157;31,2567682134825;26,4496230195647;22,6132445727233
1548;494631;991;69,81;71,05;75;1624,092956;1532,593887;15,10841903;21,1724831;25,97406285;27,65047646;238,8992888;271,8998013;25,21140828;23,85485149;26,24959805;28,62726408;30,98948502;33,33761827;4;0;2;3;26,715;75;60,7388146280451;135,247546369967;201,818482558269;256,601896203806;301,156664171225;337,643685922074;367,881754179834;393,260359829018;414,818112573477;30,3694073140225;45,0825154566558;50,4546206395673;51,3203792407612;50,1927773618708;48,234812274582;45,9852192724792;43,6955955365575;41,4818112573477;74,5087317419222;66,5709361883017;54,783413645537;44,5547679674186;36,4870217508496;30,2380682577592;25,378605649184;21,5577527444598
